course_basic_id,day,beg,last
40101211,1,1,2
40101211,3,3,2
40101211,4,1,2
41101051,1,5,4
45103291,,,
41100341,2,1,2
41100341,5,3,2
45100391,,,
45100011,2,1,2
45100011,4,9,3
45101215,4,1,2
52100842,3,5,2
31101761,1,9,3
45100831,5,1,2
45101443,5,3,2
6100151,,,
45101451,,,
45100452,2,7,2
45100452,5,5,3
45103281,,,
31101551,6,5,2
31101331,2,7,2
24100152,2,3,2
24100152,4,3,2
52100332,2,5,2
40100401,1,3,2
40100401,4,3,2
44101382,4,5,2
31101371,1,9,3
45103281,,,
45100742,3,1,2
45102813,5,5,2
45100162,5,5,3
45100701,2,9,3
45102141,3,1,2
45102141,5,3,2
52100062,3,5,2
45102941,1,5,3
45102961,3,3,2
40100641,1,1,2
31101661,3,9,3
45102831,3,9,3
45103021,5,5,3
24100162,1,1,4
45103241,,,
45103161,,,
40100023,1,3,2
40100023,3,3,2
41101151,4,3,2
41101151,5,1,2
45100122,,,
45101052,2,3,2
45101052,4,3,2
45101681,,,
52100012,2,5,2
45102851,2,9,3
45103231,,,
6100112,3,7,2
44102453,3,5,2
45100892,2,1,2
45100892,4,1,2
45103091,4,5,3
45102841,,,
41100671,1,5,4
31101522,2,9,3
45101571,,,
31101424,2,5,3
31102141,,,
31101741,2,1,2
